,bedrooms,age,year,bathrooms,sqft_living,view,condition,grade,floors,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15,waterfront_1,is_renovated_1,predicted_price
26,3,0,2014,2.5,1489,0,3,7,2.0,3266,1489,0,1537,3273,0,0,293678.0
27,4,99,2015,3.25,3230,0,4,7,1.5,5000,1750,1480,1730,4000,0,0,738446.0
28,4,63,2014,1.5,1790,0,4,6,1.0,17925,1790,0,1660,15165,0,0,274302.0
29,3,3,2014,2.5,1800,0,3,8,2.0,2790,1800,0,1580,2036,0,0,385714.0
30,2,60,2014,1.0,830,0,3,6,1.0,8000,830,0,1300,8000,0,0,192138.0
31,5,71,2014,2.0,1750,0,4,5,1.0,10284,1750,0,1560,9010,0,0,300501.0
32,3,43,2014,1.5,1320,0,3,7,1.0,7201,1320,0,1380,7201,0,0,286655.0
33,4,35,2014,2.75,2390,0,3,8,1.0,9300,1430,960,1910,9348,0,0,441040.0
34,4,90,2014,1.75,1930,0,5,7,1.5,3876,1450,480,1280,3825,0,0,591394.0
35,4,77,2014,1.75,2470,2,3,8,2.0,131790,2470,0,1470,92747,0,0,515092.0
36,3,23,2014,2.5,2530,0,3,8,2.0,43733,1530,1000,1730,43548,0,0,498365.0
37,3,11,2014,2.5,2070,0,3,7,2.0,6145,2070,0,2070,5297,0,0,352851.0
38,4,105,2015,3.5,2540,0,5,8,2.0,5808,1820,720,1520,5461,0,1,743356.0
39,4,19,2015,2.5,2155,0,3,8,2.0,8140,2155,0,2155,7245,0,0,388341.0
40,4,49,2015,2.0,1870,0,3,8,1.0,7700,1870,0,2270,8580,0,0,420176.0
41,3,97,2014,1.5,1170,0,5,6,1.0,4080,1170,0,920,4242,0,0,287358.0
42,3,12,2015,2.5,1800,0,3,7,2.0,3074,1800,0,1610,2929,0,0,393567.0
43,4,38,2015,2.0,1650,0,4,7,1.0,7552,860,790,1410,7199,0,0,296474.0
44,3,8,2014,3.5,1522,0,3,8,2.0,1465,1248,274,1522,1341,0,0,501815.0
45,4,75,2014,1.75,2030,4,4,9,2.0,5688,1730,300,2320,11107,0,0,855164.0
46,4,9,2014,2.5,3236,0,3,10,2.0,9608,3236,0,3236,9660,0,0,755148.0
47,4,40,2015,1.75,2030,1,3,9,1.0,15400,1130,900,2040,12425,0,0,555695.0
48,3,3,2015,2.5,2075,0,3,7,1.0,39553,2075,0,1960,9047,0,0,353517.0
49,3,1,2014,2.5,1600,0,3,7,2.0,3573,1600,0,1500,11089,0,0,259520.0
50,2,14,2015,1.5,1020,0,3,7,3.0,1146,1020,0,1138,1156,0,0,297264.0
51,4,26,2014,2.5,2300,0,3,7,2.0,41167,2300,0,2300,21765,0,0,473453.0
52,3,36,2015,2.25,1760,0,4,7,1.0,10350,1330,430,2210,11337,0,0,469010.0
53,3,15,2015,3.5,1630,0,3,9,2.0,1329,1360,270,1580,1319,0,0,647675.0
54,3,56,2015,1.0,1060,0,3,7,1.0,7473,1060,0,1320,7912,0,0,242295.0
55,3,75,2015,1.5,2120,0,3,7,1.0,8448,1060,1060,1620,7920,0,0,368286.0
56,4,73,2014,2.75,2440,2,4,7,1.5,7042,1640,800,2170,7900,0,0,534183.0
57,2,22,2014,2.25,1280,0,3,7,2.0,2574,1280,0,1250,3960,0,0,325107.0
58,3,8,2014,2.25,2790,3,3,8,1.0,13791,2790,0,2720,12600,0,0,620064.0
59,3,24,2015,2.0,1280,0,3,7,1.0,7633,1280,0,1450,6783,0,0,263560.0
60,5,61,2014,3.0,2710,2,3,8,1.0,8227,1910,800,2060,5400,0,0,707740.0
61,4,19,2014,2.5,2242,0,3,8,2.0,37451,2242,0,2242,13125,0,0,407700.0
62,5,52,2014,2.5,2360,0,4,7,1.0,11375,1180,1180,1160,7800,0,0,310039.0
63,2,7,2014,2.25,1390,0,3,8,2.0,916,1165,225,1415,1488,0,0,381643.0
64,4,8,2014,3.25,4350,0,3,9,1.0,112750,2200,2150,2180,223027,0,0,793952.0
65,5,36,2015,3.0,2830,0,4,8,1.0,8854,1500,1330,2260,8604,0,0,479261.0
66,3,9,2014,2.5,1830,0,3,8,2.0,2517,1830,0,1610,2762,0,0,425518.0
67,4,20,2014,2.5,2040,0,3,8,2.0,21781,2040,0,2410,21781,0,0,404934.0
68,4,42,2014,2.5,3280,0,3,9,1.0,16575,2190,1090,1570,13209,0,0,656971.0
69,4,21,2015,2.0,2310,0,3,7,1.0,5004,1430,880,1630,5060,0,0,497230.0
70,2,103,2014,1.0,1170,2,3,6,1.0,8925,1170,0,1380,7440,0,0,274731.0
71,3,31,2014,4.0,4380,0,5,11,2.0,42769,4380,0,3630,35425,0,0,1371094.0
72,4,17,2015,3.5,3950,0,3,10,2.0,9600,3950,0,3110,10213,0,0,1065988.0
73,4,79,2014,2.25,2980,2,4,10,1.5,8051,2020,960,2760,5499,0,0,1280578.0
74,4,74,2014,1.75,2690,0,3,7,1.5,46609,2690,0,1920,7302,0,0,549485.0
75,2,54,2014,1.0,1000,0,3,6,1.0,31505,1000,0,1560,22597,0,0,197760.0
76,5,56,2015,2.75,2520,0,3,8,1.0,18625,1660,860,3000,16624,0,0,678805.0
77,4,50,2015,1.75,2120,0,3,8,1.0,7725,1220,900,2160,7725,0,0,378725.0
78,4,26,2014,2.75,2050,0,3,8,1.0,7171,1540,510,1960,7110,0,0,394053.0
79,4,36,2014,2.75,2100,0,5,7,1.0,7350,1240,860,2490,7350,0,0,454888.0
80,3,54,2014,1.5,1340,0,4,7,1.0,6000,1340,0,1590,9000,0,0,360205.0
81,4,55,2014,2.25,2300,0,3,7,1.0,7700,1380,920,2010,8820,0,0,368531.0
82,3,39,2014,1.0,1510,0,4,6,1.0,17040,1510,0,1520,14000,0,0,250870.0
83,4,51,2014,2.5,2040,0,3,8,1.0,8400,1420,620,2540,8925,0,0,567500.0
84,3,42,2015,3.0,3410,4,4,10,2.0,16015,2220,1190,3760,16572,1,0,2212014.0
85,3,16,2015,2.5,2920,3,4,8,2.0,434728,2920,0,3150,55216,0,0,929697.0
86,3,47,2014,1.0,1070,0,3,7,1.0,22489,1070,0,1880,20250,0,0,259182.0
87,4,0,2014,2.75,3555,0,3,9,2.0,6565,3555,0,3625,5637,0,0,795652.0
88,3,33,2014,1.75,1720,0,4,7,1.0,9342,1140,580,1330,7540,0,0,325398.0
89,4,88,2014,2.75,2290,0,4,7,2.0,6120,2170,120,1910,4590,0,0,731813.0
90,4,15,2014,2.75,3780,0,3,10,2.0,10308,3780,0,3500,10740,0,0,900123.0
91,4,16,2014,2.5,2040,0,3,8,2.0,6685,2040,0,1890,8253,0,0,364033.0
92,4,12,2015,2.5,1780,0,3,7,2.0,2992,1780,0,1610,2961,0,0,389341.0
93,3,75,2014,1.75,950,0,3,6,1.0,6000,790,160,1360,6000,0,0,304224.0
94,3,10,2014,2.5,1320,0,3,8,2.0,1683,1270,50,1320,2206,0,0,366695.0
95,3,44,2014,1.75,1260,0,3,7,1.0,8487,1260,0,1890,13051,0,0,330275.0
96,3,59,2014,1.0,1070,0,3,7,1.0,9497,1070,0,1710,9561,0,0,280282.0
97,5,64,2014,3.0,2080,0,3,7,1.0,6150,1040,1040,1420,6150,0,0,435759.0
98,3,10,2014,2.5,2170,0,3,8,2.0,4905,2170,0,2300,4935,0,0,445720.0
99,3,1,2015,2.5,1930,0,3,7,2.0,6604,1930,0,910,6604,0,0,294545.0
100,5,54,2014,4.0,3600,2,5,8,1.0,14720,1800,1800,3600,15358,0,0,937145.0
101,3,5,2014,2.25,1370,0,3,8,3.0,1533,1370,0,1370,1125,0,0,404306.0
102,3,106,2015,1.75,1590,0,5,6,1.5,7535,1590,0,1110,6000,0,0,301614.0
103,4,44,2014,1.0,1140,0,3,7,1.0,7208,900,240,1300,7991,0,0,236627.0
104,4,106,2015,2.0,1620,0,3,7,2.0,4600,1620,0,1620,4500,0,0,576517.0
105,2,73,2015,1.0,1130,0,4,6,1.0,5236,1130,0,1010,5320,0,0,278664.0
106,3,48,2014,1.75,1220,0,5,7,1.0,7004,1220,0,1640,7210,0,0,312246.0
107,3,4,2014,2.5,1850,0,3,7,2.0,3400,1850,0,1850,3400,0,0,336949.0
108,2,68,2015,1.75,1310,0,4,6,1.0,10200,1310,0,1500,7200,0,0,315472.0
109,3,36,2014,1.75,1700,0,3,7,1.0,17355,1200,500,1900,9528,0,0,346270.0
110,5,3,2014,4.0,3210,0,3,8,2.0,7200,2410,800,2750,7200,0,0,553770.0
111,3,30,2014,2.25,1920,0,4,8,2.0,9672,1920,0,1950,10125,0,0,441775.0
112,4,15,2014,2.5,3670,0,3,10,2.0,49658,3670,0,3040,49658,0,0,785669.0
113,4,42,2014,2.25,1710,0,4,7,1.0,7000,1040,670,1780,6500,0,0,348965.0
114,4,40,2014,2.0,2090,0,3,7,1.0,6630,1070,1020,1550,7980,0,0,329743.0
115,3,65,2014,1.75,2430,1,3,8,1.0,14607,1230,1200,2750,17425,0,1,749342.0
116,3,33,2014,2.25,2120,0,4,8,2.0,9297,2120,0,2620,10352,0,0,572538.0
117,4,55,2014,1.75,2290,3,3,7,1.0,4400,1290,1000,1820,4000,0,0,462800.0
118,3,55,2014,1.75,1860,2,4,8,2.0,6000,1860,0,3030,7119,0,0,822265.0
119,3,38,2015,1.75,1780,0,3,8,1.0,11440,1350,430,2180,11440,0,0,538019.0
120,4,48,2014,2.25,1860,0,4,8,1.0,7980,1860,0,1860,8814,0,0,403033.0
121,3,64,2014,1.0,910,0,4,6,1.0,8000,740,170,2090,9007,0,0,371053.0
122,4,36,2014,2.25,2300,0,4,8,2.0,7524,2300,0,2270,8025,0,0,438143.0
123,3,51,2014,1.5,1640,0,4,7,1.0,8922,1640,0,1540,9040,0,0,308159.0
124,4,19,2014,2.5,3210,0,3,10,2.0,14910,3210,0,3280,14910,0,0,708154.0
125,3,35,2014,2.25,2370,0,3,7,2.0,217800,2370,0,3100,86248,0,0,498961.0
126,3,18,2014,3.5,3840,0,3,9,2.0,53696,3840,0,3810,35181,0,0,838825.0
127,4,16,2015,2.5,2680,0,3,9,2.0,4499,2680,0,2920,4500,0,0,659696.0
128,4,1,2015,3.5,3065,0,3,9,3.0,5440,3065,0,2210,8400,0,0,912807.0
129,3,56,2015,1.75,1590,0,4,7,1.0,7810,1590,0,1470,7810,0,0,329914.0
130,3,48,2014,1.75,2150,0,4,8,1.0,13789,1610,540,2150,15480,0,0,399240.0
131,2,97,2015,1.0,1410,2,4,7,1.0,5000,940,470,1450,5000,0,0,362052.0
132,2,34,2015,1.0,930,0,3,7,1.0,2600,930,0,1370,3488,0,0,285068.0
133,3,71,2015,1.75,1540,0,3,7,1.0,6930,1250,290,1760,6930,0,0,463045.0
134,3,6,2015,2.25,1400,0,3,8,2.0,1078,940,460,1420,1230,0,0,433267.0
135,4,9,2015,2.5,2320,0,3,7,2.0,10046,2320,0,2320,5253,0,0,373845.0
136,2,74,2014,1.75,1660,0,3,7,1.0,4000,990,670,2070,4000,0,0,600071.0
137,3,63,2014,1.0,1050,0,3,7,1.0,9083,1050,0,1440,9071,0,0,284185.0
138,4,6,2014,3.5,3080,0,3,9,2.0,118918,3080,0,1830,434728,0,0,680592.0
139,4,96,2014,1.0,1440,0,3,6,1.0,7404,1080,360,1620,7436,0,0,297330.0
140,5,55,2015,1.75,1890,0,4,7,1.0,9600,1890,0,2350,5308,0,0,443713.0
141,3,4,2014,2.5,1880,0,3,7,2.0,5000,1880,0,2260,5000,0,0,343866.0
142,4,11,2014,2.5,2260,0,3,9,2.0,3713,2260,0,2260,3713,0,0,614554.0
143,3,23,2014,2.5,4570,0,3,12,2.0,10615,4570,0,3860,11576,0,0,1185138.0
144,3,50,2014,2.5,1560,0,3,7,1.0,9600,1210,350,2070,9600,0,0,363697.0
145,3,62,2015,1.0,960,0,3,7,1.0,9624,960,0,1540,9624,0,0,270305.0
146,3,96,2014,1.75,2380,0,1,6,1.0,12681,1380,1000,1720,6377,0,0,314847.0
147,3,50,2014,1.5,1510,2,4,7,1.0,344124,1510,0,1750,169884,0,0,323006.0
148,2,68,2014,1.0,770,0,3,6,1.0,7554,770,0,1390,7500,0,0,239240.0
149,3,27,2014,2.5,2090,0,4,8,1.0,10834,1360,730,1750,8595,0,0,400416.0
150,4,0,2014,3.75,3320,0,3,10,2.0,8234,3320,0,1560,8240,0,0,1438699.0
151,5,85,2014,2.5,1660,0,5,8,1.5,4000,1660,0,1210,4000,0,0,682429.0
152,4,25,2015,2.5,2520,0,3,9,2.0,9604,2520,0,2540,9793,0,0,566124.0
153,3,5,2014,2.0,1239,0,3,7,1.0,6036,1239,0,2060,5746,0,0,299589.0
154,4,13,2014,3.75,4130,0,3,11,2.0,12320,4130,0,3690,11227,0,0,1179524.0
155,4,25,2014,2.0,2280,3,4,8,1.0,10319,1270,1010,2280,9767,0,0,527916.0
156,4,-1,2014,4.0,3570,0,3,10,2.0,8250,2860,710,2230,10000,0,0,961858.0
157,3,47,2014,1.75,1580,0,4,7,1.0,8820,1580,0,1280,8500,0,0,289035.0
158,3,105,2014,1.0,1240,0,5,7,1.5,5000,1240,0,1240,4900,0,0,447709.0
159,3,64,2014,2.0,1290,1,5,6,1.0,6150,1290,0,1960,6150,0,0,395159.0
160,5,36,2014,2.5,2240,0,3,7,1.0,7770,1340,900,1820,7770,0,0,300372.0
161,2,63,2015,1.0,1000,0,3,6,1.0,4800,1000,0,1000,4800,0,0,279272.0
162,4,77,2014,1.75,2010,2,5,8,1.0,6300,1610,400,3290,6300,0,0,967472.0
163,3,57,2014,2.5,2690,3,3,8,1.0,11575,2130,560,2390,11782,0,0,643914.0
164,5,35,2014,3.25,3970,2,3,9,2.0,8029,2970,1000,2520,8214,0,0,837174.0
165,2,9,2014,1.75,1440,0,3,8,1.0,4225,1440,0,1680,6200,0,0,433781.0
166,4,50,2015,2.25,3133,0,3,9,2.0,16197,2533,600,3090,15588,0,1,1109265.0
167,4,74,2015,2.0,1610,0,4,7,1.0,4770,1230,380,1180,6120,0,0,482058.0
168,4,21,2014,2.75,3220,0,3,10,2.0,16145,3220,0,3200,12921,0,0,775841.0
169,3,47,2014,2.25,2100,2,3,8,1.0,8201,1620,480,2660,8712,0,0,580246.0
170,2,34,2014,2.0,2930,2,4,8,1.0,14057,1680,1250,2234,61011,0,0,619119.0
171,2,69,2014,1.0,800,0,3,7,1.0,5100,800,0,1330,5100,0,0,375271.0
172,4,64,2014,2.0,2180,0,2,6,1.0,10575,1730,450,2180,12010,0,0,286494.0
173,3,9,2015,3.5,2050,0,3,8,2.0,2020,1520,530,1230,3640,0,0,554074.0
174,3,46,2015,1.0,840,0,3,6,1.0,5200,840,0,870,5200,0,1,221878.0
175,3,5,2014,2.5,1740,0,3,8,2.0,3721,1740,0,2030,3794,0,0,410755.0
176,3,58,2014,1.0,1110,0,3,7,1.0,6250,1110,0,2010,6944,0,0,369789.0
177,2,5,2015,1.5,1190,0,3,8,3.0,801,1190,0,1190,810,0,0,374250.0
178,4,46,2014,2.5,2430,0,5,8,1.0,11870,1590,840,2430,9600,0,0,628462.0
179,5,36,2014,2.5,2760,0,4,9,2.0,11340,2760,0,2470,11340,0,0,727776.0
180,4,78,2014,3.75,2452,0,3,7,2.0,4800,2452,0,1180,4800,0,1,534772.0
181,4,11,2015,4.0,4930,3,3,12,2.0,22093,4930,0,4630,18889,0,0,2494688.0
182,2,66,2015,1.0,940,0,3,7,1.0,6804,940,0,1150,6930,0,0,318016.0
183,2,47,2014,1.0,1450,0,3,7,1.0,6380,1450,0,1240,6380,0,0,272336.0
184,3,64,2015,2.0,1110,0,5,7,1.0,8375,1110,0,1410,7734,0,0,350037.0
185,2,78,2015,1.0,1040,0,4,7,1.0,9100,1040,0,1950,13228,0,0,313519.0
186,4,0,2014,2.75,2170,0,3,8,2.0,5988,2170,0,1170,8147,0,0,419206.0
187,3,41,2015,1.75,1500,0,3,8,1.0,7367,1500,0,1920,7579,0,0,431336.0
188,3,48,2015,2.25,1820,0,3,7,1.0,8814,1280,540,1810,7515,0,0,345772.0
189,5,0,2014,3.25,4475,0,3,9,2.0,6642,4475,0,3720,6633,0,0,867783.0
190,4,25,2014,2.25,1960,0,3,8,2.0,12243,1960,0,1910,12230,0,0,421733.0
191,3,36,2014,2.25,1580,0,4,7,1.0,16215,1580,0,1450,16215,0,0,297979.0
192,4,27,2014,2.25,2500,0,4,9,2.0,8866,2500,0,2630,8847,0,0,653034.0
193,3,35,2014,2.0,1600,0,4,7,1.0,7350,1600,0,1600,7200,0,0,270455.0
194,3,35,2015,2.75,3040,0,4,10,2.0,21052,3040,0,2950,21052,0,0,964583.0
195,4,34,2014,3.25,2810,0,3,8,1.0,11250,1680,1130,2110,11250,0,0,513161.0
196,3,9,2014,2.5,1610,0,3,8,2.0,3517,1610,0,1830,2889,0,0,386818.0
197,4,72,2014,1.75,1420,0,5,5,1.0,5382,1040,380,1150,5382,0,0,258204.0
198,3,66,2014,1.75,2090,0,4,7,1.0,12026,2090,0,1700,9496,0,0,395925.0
199,3,63,2014,1.75,1640,0,5,7,1.0,8529,1640,0,1730,7769,0,0,451644.0
200,1,61,2015,1.0,630,0,4,5,1.0,5150,630,0,1390,5150,0,0,259411.0
201,4,9,2014,2.5,3010,0,3,9,2.0,9155,3010,0,3010,5762,0,0,600750.0
202,5,15,2014,4.5,4230,0,3,10,2.0,9701,4230,0,4130,12253,0,0,1010861.0
203,3,96,2015,2.5,3310,0,3,8,1.0,387684,2160,1150,2340,189050,0,1,784970.0
204,4,54,2014,1.5,2020,0,4,7,1.0,7560,2020,0,1410,8080,0,0,314406.0
205,3,24,2014,1.5,1420,0,4,6,1.0,9081,1420,0,1090,8410,0,0,208500.0
206,3,47,2015,1.5,1200,0,4,7,1.0,11935,1200,0,1350,11935,0,0,251395.0
207,2,53,2014,1.0,1300,0,3,7,1.0,11400,1300,0,1360,9750,0,0,251902.0
208,4,8,2015,2.5,3490,0,3,9,2.0,3677,2850,640,3440,3600,0,0,875946.0
209,3,85,2014,1.0,1400,0,3,7,1.5,4914,1400,0,1400,3744,0,0,455537.0
210,4,54,2014,3.25,3450,3,4,10,2.0,11240,2430,1020,2412,19499,0,1,1417434.0
211,4,12,2014,2.5,2540,0,3,9,2.0,6688,2540,0,2810,6776,0,0,545147.0
212,3,11,2014,2.5,3160,0,3,8,2.0,13603,3160,0,3050,9232,0,0,542872.0
213,3,21,2014,2.5,1720,0,3,8,2.0,10031,1720,0,2280,5845,0,0,372465.0
214,4,25,2014,2.5,3170,0,3,10,2.5,32430,3170,0,3360,35610,0,0,810734.0
215,5,12,2015,2.5,2400,0,3,7,2.0,4548,2400,0,2200,4465,0,0,391097.0
216,3,11,2014,2.5,2330,0,3,8,2.0,3141,2330,0,1980,5265,0,0,486808.0
217,5,54,2014,3.0,3690,2,3,9,1.0,49709,2690,1000,2590,8691,0,0,871115.0
218,4,35,2014,2.25,1860,0,3,8,1.0,7000,1120,740,1990,8937,0,0,368773.0
219,3,43,2015,1.0,960,0,3,7,1.0,12527,960,0,1220,7579,0,0,269219.0
220,3,31,2014,1.75,1560,0,3,7,1.0,7207,1250,310,1540,7485,0,0,297988.0
221,3,101,2015,3.0,1820,0,4,8,1.5,4300,1620,200,1440,4300,0,1,598786.0
222,4,98,2014,2.5,2100,0,4,6,1.5,7920,1400,700,1230,7920,0,0,344635.0
223,3,10,2015,2.5,1480,0,3,8,3.0,1386,1480,0,1470,1593,0,0,487644.0
224,4,1,2014,2.25,2240,0,3,8,2.0,5000,2240,0,1760,7500,0,0,413098.0
225,6,55,2014,2.0,1900,0,4,7,1.0,8057,1170,730,2090,8626,0,0,462769.0
226,6,45,2015,2.75,3970,0,4,10,1.0,9500,2180,1790,2490,9775,0,0,1082922.0
227,4,37,2015,2.25,2490,0,3,8,1.0,7233,1460,1030,2000,8000,0,0,403547.0
228,3,46,2014,1.75,1300,0,3,7,1.0,7030,1300,0,1450,7650,0,0,303297.0
229,4,15,2014,3.5,3550,2,3,11,1.0,11000,2260,1290,4100,10012,0,0,935892.0
230,2,111,2014,2.75,1992,4,5,6,1.5,10946,1288,704,1110,8328,1,0,851270.0
231,3,89,2015,1.0,1140,0,3,7,1.5,6120,1140,0,1800,4080,0,0,554451.0
232,3,62,2014,1.5,1500,0,3,7,1.0,15000,1500,0,1790,13905,0,0,334739.0
233,3,0,2014,2.25,1270,0,3,8,2.0,1566,1060,210,1160,1327,0,0,429622.0
234,3,22,2014,1.25,2400,2,3,11,3.0,6653,2400,0,1910,6653,0,0,861313.0
235,4,5,2015,2.5,2150,0,3,7,2.0,3600,2150,0,2220,3915,0,0,381600.0
236,4,8,2014,2.5,2890,0,3,7,2.0,7306,2890,0,2850,6687,0,0,411858.0
237,4,1,2015,4.5,3420,0,3,9,3.0,7440,3420,0,1360,5580,0,0,920116.0
238,6,81,2014,5.0,7100,0,3,13,2.5,18200,5240,1860,3130,6477,0,1,3573788.0
239,4,6,2014,3.5,3370,2,3,8,2.0,5000,2470,900,1820,5000,0,0,755570.0
240,6,101,2014,2.5,1560,0,3,6,1.0,7144,1060,500,1300,6232,0,0,284140.0
241,4,37,2015,2.5,2130,0,3,7,1.0,9653,1500,630,2000,7988,0,0,473192.0
242,4,35,2014,2.25,2450,0,3,10,1.0,11960,2450,0,2600,11960,0,0,759683.0
243,3,52,2014,1.5,1420,0,3,6,1.0,8580,1420,0,1200,8580,0,0,217773.0
244,3,54,2014,1.0,990,0,4,7,1.0,8062,990,0,1420,8790,0,0,249352.0
245,4,12,2014,2.5,2580,0,3,8,2.0,5823,2580,0,2380,5823,0,0,429992.0
246,4,36,2014,2.5,2130,0,3,8,1.0,9100,1290,840,1770,7700,0,0,382421.0
247,3,33,2014,1.5,1180,0,3,7,1.0,12324,800,380,1280,11371,0,0,318182.0
248,3,20,2015,2.25,1800,0,3,7,2.0,4500,1800,0,1760,6589,0,0,335571.0
249,3,60,2015,1.5,1730,0,3,8,2.0,9509,1270,460,1810,8795,0,0,428763.0
250,3,33,2014,1.75,1450,0,4,7,1.0,12125,1450,0,1210,12125,0,0,310617.0
251,4,92,2014,1.75,1590,0,4,7,2.0,10523,1590,0,1610,8568,0,0,366163.0
252,3,72,2015,1.0,1500,0,3,7,1.0,6800,1500,0,1500,6800,0,0,437822.0
253,3,55,2014,2.0,1630,0,5,7,1.0,10723,1630,0,1450,10723,0,0,337406.0
254,4,62,2015,2.0,1220,0,5,7,1.0,9147,1220,0,1220,8576,0,0,323166.0
255,3,6,2015,2.5,1950,0,3,7,2.0,4949,1950,0,2200,5740,0,0,374806.0
256,3,43,2014,1.0,960,0,3,7,1.0,8556,960,0,1320,7528,0,0,266752.0
257,4,24,2014,2.5,2530,2,3,8,2.0,9933,2010,520,2140,9933,0,0,522286.0
258,3,6,2014,3.25,1689,0,3,8,3.0,1388,1689,0,1459,1384,0,0,521289.0
259,4,16,2014,2.5,2830,0,3,9,2.0,8399,2830,0,2520,6890,0,0,552175.0
260,2,90,2014,1.0,950,0,4,7,1.0,4080,950,0,1120,4080,0,0,427792.0
261,4,60,2014,2.0,2850,0,5,8,2.0,14810,2490,360,2430,10454,0,0,862901.0
262,5,53,2014,1.5,1710,0,4,7,1.5,8100,1710,0,1480,8025,0,0,339887.0
263,4,0,2014,2.75,3550,0,3,9,2.0,9400,3550,0,3550,9421,0,0,817227.0
264,2,68,2015,1.0,1460,0,3,7,1.0,9207,1210,250,1500,6898,0,0,349721.0
265,3,47,2014,2.0,1770,0,4,7,1.0,7200,1770,0,2250,11250,0,0,399262.0
266,3,24,2014,2.5,1930,0,4,8,2.0,5080,1930,0,2190,5085,0,0,478281.0
267,5,63,2014,1.75,2850,0,3,9,1.0,11860,2850,0,2640,11604,0,0,970141.0
268,3,35,2015,1.75,1430,2,4,7,1.0,9857,1140,290,1310,9880,0,0,291628.0
269,3,64,2014,1.75,1830,0,3,7,1.0,7969,930,900,1790,7425,0,1,380860.0
270,4,85,2014,4.5,3180,3,4,9,2.0,4606,1990,1190,2110,5323,0,0,1032909.0
271,3,31,2015,3.25,2730,1,3,10,2.0,9588,1900,830,2730,12736,0,0,1067001.0
272,4,7,2014,2.5,2320,0,3,7,2.0,4683,2320,0,2230,5750,0,0,366098.0
273,4,90,2014,1.75,2800,0,3,9,1.0,5400,1400,1400,1490,5400,0,1,758779.0
274,3,30,2015,2.0,1410,0,4,7,1.0,44866,1410,0,2950,29152,0,0,541305.0
275,3,13,2015,2.5,1620,0,3,8,2.0,2930,1620,0,1900,2943,0,0,442734.0
276,4,26,2014,2.5,3320,3,3,10,2.0,9380,3320,0,2870,11779,0,0,842429.0
277,4,94,2014,1.5,1280,0,5,7,1.5,5460,1080,200,1470,5934,0,0,440514.0
278,2,90,2014,1.0,1010,0,3,6,1.0,7740,890,120,1030,6000,0,0,260645.0
279,4,65,2014,2.0,1770,0,5,6,1.0,8890,1770,0,1010,7620,0,0,255044.0
280,3,53,2014,2.25,1660,0,4,8,1.0,8307,1660,0,2510,7800,0,0,528836.0
281,4,24,2014,3.25,3820,1,4,11,2.0,24166,3310,510,2900,18786,0,0,1344730.0
